NumThreads,Dim,Runtime
1,1000,2.61774
1,1000,2.60339
1,1000,2.78496
1,1000,3.01866
1,1000,2.64268
1,1500,10.5407
1,1500,10.5919
1,1500,10.8726
1,1500,10.4804
1,1500,10.4079
1,2000,56.0007
1,2000,55.9603
1,2000,55.4501
1,2000,55.4903
1,2000,55.771
1,2500,126.596
1,2500,125.242
1,2500,126.194
1,2500,128.634
1,2500,126.943
2,1000,1.29519
2,1000,1.56645
2,1000,1.6256
2,1000,1.49223
2,1000,1.59132
2,1500,5.39745
2,1500,5.708
2,1500,5.82051
2,1500,6.12681
2,1500,6.16913
2,2000,29.9655
2,2000,30.2595
2,2000,31.0461
2,2000,31.6529
2,2000,31.4853
2,2500,69.8188
2,2500,69.5497
2,2500,69.8507
2,2500,69.0698
2,2500,70.6097
3,1000,1.08783
3,1000,1.12471
3,1000,1.26984
3,1000,1.04633
3,1000,1.2603
3,1500,4.44918
3,1500,4.80287
3,1500,4.98232
3,1500,4.55026
3,1500,4.58334
3,2000,22.2649
3,2000,22.4719
3,2000,21.9433
3,2000,22.192
3,2000,21.6524
3,2500,49.4339
3,2500,49.4566
3,2500,48.9786
3,2500,48.8706
3,2500,49.269
4,1000,1.08132
4,1000,0.957927
4,1000,0.982076
4,1000,1.01619
4,1000,1.02996
4,1500,4.28456
4,1500,4.04394
4,1500,3.98089
4,1500,4.02182
4,1500,4.05992
4,2000,17.7691
4,2000,17.7565
4,2000,17.6897
4,2000,17.7541
4,2000,18.0779
4,2500,38.7577
4,2500,38.9583
4,2500,38.9564
4,2500,38.4993
4,2500,38.7132
